en_word,pos,level,mp3_url,ru_word,transcription,en_example,ru_example
move,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mov/move_/move__gb_1.mp3,шаг,[mu:v],This was a smart move.,Это был очень разумный шаг.
utilize,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/u/uti/utili/utilize__gb_3.mp3,использовать,[ˈju:tɪlaɪz],Who will control and utilize them?,Кто будет ими распоряжаться и использовать их?
edition,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edi/editi/edition__gb_1.mp3,издание,[ɪˈdɪʃən],Revised edition of the manifesto?,Исправленное издание манифеста?
global,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/glo/globa/global__gb_2.mp3,глобальный,[ˈɡləubəl],Global production is rapidly increasing.,Его глобальное производство увеличивается быстрыми темпами.
round,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rou/round/round__gb_1.mp3,круглый,[raund],"Round, common, boring, soft line.","Круглый, неинтересный, скучный, мягкие линии."
county,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/county__gb_1.mp3,округ,[ˈkauntɪ],"Three years ago, Dade County.","Три года назад, округ Дейд."
optimism,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opt/optim/optimism__gb_1.mp3,оптимизм,[ˈɔptɪmɪzm],But this optimism is misplaced.,Но этот оптимизм необоснован.
extent,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ext/exten/extent__gb_1.mp3,степень,[ɪksˈtent],"The strategy worked, to some extent.","В какой-то степени, эта стратегия работала."
propose,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/propo/propose__gb_2.mp3,предлагать,[prəˈpəuz],"Instead, I propose a toast.","Вместо этого, Я предлагаю тост."
critique,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/criti/critique__gb_2.mp3,критический анализ,[krɪˈti:k],"But many in China, from nationalist bloggers to social justice activists, advance a deeper critique of the Leviathan reserve.","Однако многие китайцы, от националистических блоггеров, до активистов социальной справедливости, подвергают левиафановские запасы более глубокому критическому анализу."
penny,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pen/penny/penny__gb_1.mp3,пенс,[ˈpenɪ],"Pence responded, “No, we haven’t.”","Пенс ответил: «Нет, не называли»."
state,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/state/state__gb_2.mp3,государственный,[steɪt],"State revoke your license, yet?","Государственный отозвать лицензию, еще?"
sketch,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ske/sketc/sketch__gb_1.mp3,набросок,[sketʃ],Make a sketch of her abductors.,Сделайте набросок её похитителей.
fever,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fev/fever/fever__gb_1.mp3,лихорадка,[ˈfi:və],"Confusion, fever, photophobia, neck rigidity.","Спутанность сознания, лихорадка, светобоязнь, оцепенелость шейных мышц."
compulsory,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compu/compulsory__gb_1.mp3,обязательный,[kəmˈpʌlsərɪ],Byline is a compulsory element.,Байлайн — это обязательный элемент.
depth,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depth/depth__gb_1.mp3,глубина,[depθ],Level II market depth available,Доступна глубина рынка ІІ уровня
adaptation,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ada/adapt/adaptation__gb_1.mp3,адаптация,[ˌædæpˈteɪʃən],Adaptation programs help strengthen climate resilience.,Программы по адаптации помогают укрепить климатическую устойчивость.
ghost,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gho/ghost/ghost__gb_1.mp3,призрак,[ɡəust],Holy Ghost on a bicycle.,Святой призрак на байке.
interpretation,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/inter/interpretation__gb_1.mp3,толкование,[ɪnˌtə:prɪˈteɪʃən],The passage admits of no other interpretation.,Событие не допускало иного толкования.
procedure,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/proce/procedure__gb_3.mp3,процедура,[prəˈsi:dʒə],Draft sampling and inspection procedure,Проект процедуры отбора проб и инспекции
landlord,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lan/landl/landlord__gb_1.mp3,владелец,[ˈlænlɔ:d],Landlord found the body five days later.,Через пять дней владелец дома обнаружил тело.
male,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mal/male_/male__gb_1.mp3,мужской,,Feminism and the Male Brain,Феминизм и мужские мозги
sweet,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/swe/sweet/sweet__gb_1.mp3,сладкий,[swi:t],The coffee is too sweet,Кофе слишком сладкий
psychologist,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/psy/psych/psychologist__gb_1.mp3,психолог,[saɪˈkɔlədʒɪst],I'm a social psychologist.,Я социальный психолог.
phrase,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/phr/phras/phrase__gb_1.mp3,фраза,[freɪz],"Highlight a word, phrase, or image.","Выделите слово, фразу или изображение."
decisive,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decis/decisive__gb_1.mp3,решающий,[dɪˈsaɪsɪv],Who scored the decisive goal?,Кто забил решающий гол?
cake,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cak/cake_/cake__gb_2.mp3,торт,[keɪk],Now it was your cake.,Вот теперь это был ваш торт.
shirt,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/shi/shirt/shirt__gb_2.mp3,рубашка,[ʃə:t],And tuck that shirt in.,И заправляют ту рубашку.
airport,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airpo/airport__gb_3.mp3,аэропорт,[ˈɛəpɔ:t],Joan Winfield stolen at airport!,Джоан Винфилд похищена в аэропорту!
heal,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heal_/heal__gb_1.mp3,залечивать,[hi:l],Can the Democrats and Republicans Heal Themselves?,Смогут ли демократы и республиканцы залечить свои раны?
mental,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/men/menta/mental__gb_2.mp3,психический,,It lists every known mental disorder.,В ней перечислены все известные психические заболевания.
rebuild,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/reb/rebui/rebuild__gb_1.mp3,восстанавливать,[ˈri:ˈbɪld],How to Rebuild Eastern Ukraine,Как восстановить Восточную Украину
horror,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hor/horro/horror__gb_2.mp3,ужас,[ˈhɔrə],The Rocky Horror Picture Show.,Шоу ужасов Рокки Хоррора.
true,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tru/true_/true__gb_1.mp3,истинный,[tru:],Our true nationality is mankind.,Наша истинная национальность - человеческий род.
church,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chu/churc/church__gb_1.mp3,церковь,[tʃə:tʃ],"So, go after the church.",Поэтому он и идет против церкви.
standard,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/stand/standard__gb_1.mp3,стандартный,[ˈstændəd],It's fairly standard equipment.,Вполне стандартное оборудование.
endure,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/end/endur/endure__gb_1.mp3,переживать,[ɪnˈdjuə],Argentines are left to endure wretched hours languishing in economic and political chaos.,"Аргентинцы предоставлены сами себе и вынуждены переживать мучительное время, постепенно теряя силы в продолжающемся экономическом и политическом хаосе."
nursery,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nur/nurse/nursery__gb_1.mp3,детский,[ˈnə:sərɪ],The nursery toilet door was shut.,Дверь в туалет в детской была закрыта.
intensity,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/inten/intensity__gb_1.mp3,интенсивность,[ɪnˈtensɪtɪ],"Eradicator detachment, one charge, maximum intensity.","Отряд ликвидатора, один заряд, максимальная интенсивность."
deal,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/deal_/deal__gb_1.mp3,сделка,[di:l],"Minimum Deal Size: $100,000",Минимальный размер сделки: 100 000$
care,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/care_/care__gb_1.mp3,уход,[kɛə],Engineering Better Refugee Health Care,Инженеры могут улучшить медицинский уход за беженцами
history,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/his/histo/history__gb_3.mp3,история,[ˈhɪstərɪ],The little slut's history.,История маленькой развратницы.
grip,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gri/grip_/grip__gb_1.mp3,власть,[ɡrɪp],"indeed, they are said to be in the grip of superstition.","в действительности, говорят, что они находятся во власти предрассудков."
expression,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/expre/expression__gb_1.mp3,выражение,,"Then, select Fields > Modify Expression.",Затем на вкладке Поля нажмите кнопку Изменить выражение.
speak,verb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spe/speak/speak__gb_1.mp3,говорить,[spi:k],"Let's speak frankly, professor.","Давайте говорить прямо, профессор."
measure,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mea/measu/measure__gb_3.mp3,мера,[ˈmeʒə],Measure 3.7 Deferred payment,Мера 3.7 Отсрочка платежа
pitch,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pit/pitch/pitch__gb_1.mp3,поле,[pɪtʃ],I booked the pitch for Gryffindor today.,Я заказал поле для Гриффиндора на сегодня.
revival,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rev/reviv/revival__gb_1.mp3,возрождение,[rɪˈvaɪvəl],But the WTO’s revival will not happen automatically.,"Впрочем, возрождение ВТО не произойдёт автоматически."
rocket,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/roc/rocke/rocket__gb_1.mp3,ракета,[ˈrɔkɪt],The Improved Cold War Rocket:,Усовершенствованная ракета холодной войны.
beneficiary,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/benef/beneficiary__gb_1.mp3,бенефициар,[ˌbenɪˈfɪʃərɪ],Beneficiary: ActivTrades PLC - Client Account,Бенефициар: ActivTrades PLC Client Account
